OpenAL-devel,pkgconfig(openal)
abseil-cpp-devel,pkgconfig(absl_raw_logging_internal)
abseil-cpp-devel,pkgconfig(absl_sample_recorder)
abseil-cpp-devel,pkgconfig(absl_scoped_set_env)
abseil-cpp-devel,pkgconfig(absl_span)
abseil-cpp-devel,pkgconfig(absl_spinlock_wait)
abseil-cpp-devel,pkgconfig(absl_stacktrace)
abseil-cpp-devel,pkgconfig(absl_status)
abseil-cpp-devel,pkgconfig(absl_statusor)
abseil-cpp-devel,pkgconfig(absl_str_format)
abseil-cpp-devel,pkgconfig(absl_str_format_internal)
abseil-cpp-devel,pkgconfig(absl_strerror)
abseil-cpp-devel,pkgconfig(absl_string_view)
abseil-cpp-devel,pkgconfig(absl_strings)
abseil-cpp-devel,pkgconfig(absl_strings_internal)
abseil-cpp-devel,pkgconfig(absl_symbolize)
abseil-cpp-devel,pkgconfig(absl_synchronization)
abseil-cpp-devel,pkgconfig(absl_throw_delegate)
abseil-cpp-devel,pkgconfig(absl_time)
abseil-cpp-devel,pkgconfig(absl_time_zone)
abseil-cpp-devel,pkgconfig(absl_type_traits)
abseil-cpp-devel,pkgconfig(absl_utility)
abseil-cpp-devel,pkgconfig(absl_variant)
alsa-lib-devel,pkgconfig(alsa)
alsa-lib-devel,pkgconfig(alsa-topology)
amber-mpris-devel,pkgconfig(ambermpris)
aspell-devel,pkgconfig(aspell)
audit-libs-devel,pkgconfig(audit)
audit-libs-devel,pkgconfig(auparse)
augeas-devel,pkgconfig(augeas)
bluez5-libs-devel,pkgconfig(bluez)
btrfs-progs-devel,pkgconfig(libbtrfsutil)
buteo-sync-plugins-qt5-devel,pkgconfig(syncmlcommon5)
buteo-syncfw-qt5-devel,pkgconfig(buteosyncfw5)
buteo-syncml-qt5-devel,pkgconfig(buteosyncml5)
c-ares-devel,pkgconfig(libcares)
cairo-devel,pkgconfig(cairo)
cairo-devel,pkgconfig(cairo-fc)
cairo-devel,pkgconfig(cairo-ft)
cairo-devel,pkgconfig(cairo-gobject)
cairo-devel,pkgconfig(cairo-pdf)
cairo-devel,pkgconfig(cairo-png)
cairo-devel,pkgconfig(cairo-ps)
cairo-devel,pkgconfig(cairo-script)
cairo-devel,pkgconfig(cairo-script-interpreter)
cairo-devel,pkgconfig(cairo-svg)
cairo-gobject-devel,pkgconfig(cairo-gobject)
check-devel,pkgconfig(check)
connman-devel,pkgconfig(connman)
connman-qt5-devel,pkgconfig(connman-qt5)
contactsd-devel,pkgconfig(contactsd-1.0)
createrepo_c-devel,pkgconfig(createrepo_c)
cryptsetup-devel,pkgconfig(libcryptsetup)
cups-devel,pkgconfig(cups)
dbus-devel,pkgconfig(dbus-1)
dbus-glib-devel,pkgconfig(dbus-glib-1)
dbus-python3-devel,pkgconfig(dbus-python)
dconf-devel,pkgconfig(dconf)
device-mapper-devel,pkgconfig(devmapper)
device-mapper-event-devel,pkgconfig(devmapper-event)
dsme-plugin-devel,pkgconfig(dsme-plugin)
duktape-devel,pkgconfig(duktape)
e2fsprogs-devel,pkgconfig(e2p)
e2fsprogs-devel,pkgconfig(ext2fs)
elfutils-devel,pkgconfig(libdw)
elfutils-libelf-devel,pkgconfig(libelf)
exempi-devel,pkgconfig(exempi-2.0)
expat-devel,pkgconfig(expat)
farstream-devel,pkgconfig(farstream-0.2)
ffmpeg-devel,pkgconfig(libavcodec)
ffmpeg-devel,pkgconfig(libavdevice)
ffmpeg-devel,pkgconfig(libavfilter)
ffmpeg-devel,pkgconfig(libavformat)
ffmpeg-devel,pkgconfig(libavutil)
ffmpeg-devel,pkgconfig(libswresample)
ffmpeg-devel,pkgconfig(libswscale)
file-devel,pkgconfig(libmagic)
flac-devel,pkgconfig(flac)
flac-devel,pkgconfig(flac++)
fontconfig-devel,pkgconfig(fontconfig)
freetype-devel,pkgconfig(freetype2)
fribidi-devel,pkgconfig(fribidi)
fuse-devel,pkgconfig(fuse)
fuse3-devel,pkgconfig(fuse3)
gdk-pixbuf-devel,pkgconfig(gdk-pixbuf-2.0)
gecko-camera-devel,pkgconfig(geckocamera)
geoclue-devel,pkgconfig(geoclue)
glib2-devel,pkgconfig(gio-2.0)
glib2-devel,pkgconfig(gio-unix-2.0)
glib2-devel,pkgconfig(glib-2.0)
glib2-devel,pkgconfig(gmodule-2.0)
glib2-devel,pkgconfig(gmodule-export-2.0)
glib2-devel,pkgconfig(gmodule-no-export-2.0)
glib2-devel,pkgconfig(gobject-2.0)
glib2-devel,pkgconfig(gthread-2.0)
glslang-devel,pkgconfig(glslang)
glslang-devel,pkgconfig(spirv)
gmime-devel,pkgconfig(gmime-3.0)
gmock-devel,pkgconfig(gmock)
gmock-devel,pkgconfig(gmock_main)
gmp-devel,pkgconfig(gmp)
gmp-devel,pkgconfig(gmpxx)
gnutls-devel,pkgconfig(gnutls)
gobject-introspection-devel,pkgconfig(gobject-introspection-1.0)
gobject-introspection-devel,pkgconfig(gobject-introspection-no-export-1.0)
graphite2-devel,pkgconfig(graphite2)
grilo-devel,pkgconfig(grilo-0.3)
grilo-devel,pkgconfig(grilo-net-0.3)
grilo-devel,pkgconfig(grilo-pls-0.3)
grilo-qt5-devel,pkgconfig(grilo-qt5)
gssdp-devel,pkgconfig(gssdp-1.6)
gstreamer1.0-devel,pkgconfig(gstreamer-1.0)
gstreamer1.0-devel,pkgconfig(gstreamer-base-1.0)
gstreamer1.0-devel,pkgconfig(gstreamer-check-1.0)
gstreamer1.0-devel,pkgconfig(gstreamer-controller-1.0)
gstreamer1.0-devel,pkgconfig(gstreamer-net-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-analytics-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-bad-audio-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-codecparsers-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-cuda-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-insertbin-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-mpegts-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-mse-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-photography-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-play-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-player-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-plugins-bad-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-sctp-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-transcoder-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-wayland-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-webrtc-1.0)
gstreamer1.0-plugins-bad-devel,pkgconfig(gstreamer-webrtc-nice-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-allocators-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-app-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-audio-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-fft-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-gl-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-gl-egl-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-gl-prototypes-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-gl-wayland-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-pbutils-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-plugins-base-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-riff-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-rtp-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-rtsp-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-sdp-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-tag-1.0)
gstreamer1.0-plugins-base-devel,pkgconfig(gstreamer-video-1.0)
gtest-devel,pkgconfig(gtest)
gtest-devel,pkgconfig(gtest_main)
gupnp-av-devel,pkgconfig(gupnp-av-1.0)
gupnp-devel,pkgconfig(gupnp-1.6)
gupnp-dlna-devel,pkgconfig(gupnp-dlna-2.0)
gupnp-dlna-devel,pkgconfig(gupnp-dlna-gst-2.0)
gupnp-dlna-devel,pkgconfig(gupnp-dlna-metadata-2.0)
harfbuzz-devel,pkgconfig(harfbuzz)
harfbuzz-devel,pkgconfig(harfbuzz-cairo)
harfbuzz-devel,pkgconfig(harfbuzz-icu)
harfbuzz-devel,pkgconfig(harfbuzz-subset)
hunspell-devel,pkgconfig(hunspell)
hwdata-devel,pkgconfig(hwdata)
iptables-devel,pkgconfig(libip4tc)
iptables-devel,pkgconfig(libip6tc)
iptables-devel,pkgconfig(libiptc)
iptables-devel,pkgconfig(xtables)
iso-codes-devel,pkgconfig(iso-codes)
json-c-devel,pkgconfig(json-c)
json-glib-devel,pkgconfig(json-glib-1.0)
kf5-calendarcore-devel,pkgconfig(KF5CalendarCore)
kf5bluezqt-bluez5-devel,pkgconfig(KF5BluezQt)
kmod-devel,pkgconfig(libkmod)
libaccounts-glib-devel,pkgconfig(libaccounts-glib)
libaccounts-qt5-devel,pkgconfig(accounts-qt5)
libacl-devel,pkgconfig(libacl)
libamberwebauthorization-devel,pkgconfig(amberwebauthorization)
libarchive-devel,pkgconfig(libarchive)
libasyncns-devel,pkgconfig(libasyncns)
libatomic_ops-devel,pkgconfig(atomic_ops)
libattr-devel,pkgconfig(libattr)
libaudioresource-devel,pkgconfig(audioresource)
libaudioresource-qt-devel,pkgconfig(audioresource-qt)
libblkid-devel,pkgconfig(blkid)
libblockdev-devel,pkgconfig(blockdev)
libblockdev-utils-devel,pkgconfig(blockdev-utils)
libcanberra-devel,pkgconfig(libcanberra)
libcap-devel,pkgconfig(libcap)
libcap-devel,pkgconfig(libpsx)
libcap-ng-devel,pkgconfig(libcap-ng)
libcom_err-devel,pkgconfig(com_err)
libcommhistory-qt5-devel,pkgconfig(commhistory-qt5)
libcontentaction-qt5-devel,pkgconfig(contentaction5)
libcroco-devel,pkgconfig(libcroco-0.6)
libcurl-devel,pkgconfig(libcurl)
libdbus-qeventloop-qt5-devel,pkgconfig(libdbus-qeventloop5)
libdbusaccess-devel,pkgconfig(libdbusaccess)
libdbuslogserver-dbus-devel,pkgconfig(libdbuslogserver-dbus)
libdbuslogserver-gio-devel,pkgconfig(libdbuslogserver-gio)
libdres-devel,pkgconfig(libdres)
libdrm-devel,pkgconfig(libdrm)
libdrm-devel,pkgconfig(libdrm_amdgpu)
libdrm-devel,pkgconfig(libdrm_nouveau)
libdrm-devel,pkgconfig(libdrm_radeon)
libdsme-devel,pkgconfig(dsme)
libdsme-devel,pkgconfig(dsme_dbus_if)
libdsme-devel,pkgconfig(thermalmanager_dbus_if)
libedit-devel,pkgconfig(libedit)
libeigen3-devel,pkgconfig(eigen3)
libexif-devel,pkgconfig(libexif)
libfdisk-devel,pkgconfig(fdisk)
libffi-devel,pkgconfig(libffi)
libgcrypt-devel,pkgconfig(libgcrypt)
libgee-devel,pkgconfig(gee-0.8)
libglibutil-devel,pkgconfig(libglibutil)
libgofono-devel,pkgconfig(libgofono)
libgofonoext-devel,pkgconfig(libgofonoext)
libgpg-error-devel,pkgconfig(gpg-error)
libgps-devel,pkgconfig(libgps)
libgrilio-devel,pkgconfig(libgrilio)
libgsf-devel,pkgconfig(libgsf-1)
libgsupplicant-devel,pkgconfig(libgsupplicant)
